Orbital_Distance_AU,Planet_Radius_Earth,Surface_Temperature_K,Habitable
1.2,2.0,350,0
4.0,1.4,737,0
15.0,0.53,440,0
0.25,1.4,275,0
0.85,0.7,500,0
1.52,1.4,150,0
1.0,11.2,210,0
5.2,0.45,85,0
1.0,0.45,500,0
0.72,6.0,210,0
1.0,1.4,230,0
0.72,5.0,320,0
0.25,5.0,120,0
2.0,0.6,260,0
0.05,0.95,150,0
8.0,1.5,1500,0
0.1,2.0,288,0
0.5,0.6,1500,0
0.65,0.53,275,0
4.0,0.38,120,0
0.65,0.53,1500,0
0.5,4.0,50,0
10.0,0.8,210,0
0.25,1.4,275,0
0.85,0.9,275,1
0.39,4.0,280,0
2.0,5.0,440,0
0.98,1.5,210,0
0.5,0.53,1500,0
1.0,0.95,350,0
0.25,0.7,320,0
2.0,4.0,600,0
15.0,2.0,85,0
0.98,0.7,275,0
4.0,5.0,440,0
0.1,11.2,350,0
1.0,9.0,737,0
8.0,1.3,600,0
0.72,1.5,350,0
0.72,5.0,210,0
2.0,1.0,280,0
0.65,4.0,350,0
0.25,2.0,210,0
0.98,0.8,320,0
4.0,0.6,350,0
15.0,1.3,440,0
1.2,0.45,230,0
2.0,5.0,150,0
0.05,1.4,210,0
8.0,0.45,120,0
0.1,9.0,280,0
1.1,2.0,120,0
15.0,1.2,85,0
10.0,6.0,150,0
1.1,9.0,150,0
1.2,0.9,315,0
1.0,5.0,320,0
0.98,0.8,230,0
0.98,0.45,315,0
0.85,1.5,275,1
4.0,6.0,320,0
1.2,1.2,350,0
15.0,11.2,85,0
2.0,0.7,320,0
5.2,0.53,600,0
1.2,2.0,350,0
1.0,2.0,120,0
0.65,0.45,230,0
0.05,2.0,500,0
0.25,6.0,737,0
0.65,0.7,150,0
1.2,0.53,310,0
0.98,1.2,310,1
8.0,0.6,120,0
0.5,5.0,737,0
1.0,0.95,350,0
0.5,2.0,210,0
0.5,0.95,150,0
0.05,1.1,440,0
0.65,0.6,600,0
0.65,0.95,280,0
1.52,0.9,315,0
1.0,0.6,320,0
0.65,2.0,288,0
0.98,1.4,315,0
0.25,9.0,440,0
0.72,2.0,600,0
5.2,2.0,288,0
1.0,4.0,600,0
1.2,1.4,50,0
15.0,0.9,600,0
2.0,0.53,230,0
5.2,4.0,150,0
1.3,6.0,210,0
0.98,0.45,210,0
0.05,0.9,1500,0
0.85,1.5,500,0
2.0,11.2,275,0
1.0,1.4,1500,0
0.98,1.1,290,1
