Orbital_Distance_AU,Surface_Temperature_K,Planet_Radius_Earth,Star_Type,Surface_Gravity_g,Habitable
1.12,393,0.56,1,1.02,1
2.39,355,1.77,1,2.57,1
1.91,387,1.12,0,1.66,1
1.61,378,1.51,2,3.31,1
0.64,319,2.31,2,0.91,0
0.64,384,0.99,1,1.52,0
0.42,217,1.32,3,0.84,1
2.20,239,2.01,2,3.27,1
1.62,209,0.95,3,3.13,0
1.85,265,0.65,2,1.27,0
0.34,277,1.07,3,2.47,1
2.43,254,0.82,0,2.95,0
2.13,365,2.35,3,2.16,1
0.76,271,2.11,0,2.08,0
0.70,256,1.76,0,1.22,1
0.70,308,2.24,3,0.77,0
0.96,228,2.10,0,3.19,1
1.45,360,0.87,1,3.20,0
1.25,214,2.28,0,2.39,0
0.94,397,1.57,2,1.51,1
1.64,354,2.11,3,1.54,0
0.60,239,2.29,1,2.67,1
0.94,201,1.13,3,3.19,0
1.10,363,0.72,2,3.16,1
1.30,341,0.95,2,2.83,0
2.02,345,1.35,2,2.42,1
0.73,354,2.13,0,0.75,0
1.43,214,2.22,0,0.98,1
1.60,271,0.51,3,3.19,0
0.40,223,1.52,3,2.31,1
1.63,372,1.33,1,0.52,1
0.67,324,0.94,1,0.80,1
0.44,266,0.73,3,2.49,0
2.38,212,1.17,0,0.51,1
2.42,262,2.38,2,0.98,0
2.07,265,1.14,3,2.14,1
0.97,345,1.53,1,2.57,0
0.51,327,1.90,0,2.45,1
1.80,377,1.22,3,1.17,0
1.26,294,2.44,3,2.63,0
0.56,223,2.42,0,1.21,1
1.38,342,1.00,3,1.47,0
0.37,352,1.49,0,2.73,0
2.30,312,1.10,2,2.44,1
0.86,354,1.06,0,3.04,0
1.75,298,0.57,0,2.47,0
0.98,304,1.71,0,2.20,0
1.44,285,1.50,3,0.78,1
1.50,205,0.60,3,1.60,0
0.70,221,1.05,0,1.29,1
